symbol,description,bid_price,ask_price,last_price,high_price,low_price,close_price,total_volume,open_interest,volatility,money_intrinsic_value,expiration_year,multiplier,digits,open_price,bid_size,ask_size,last_size,net_change,strike_price,contract_type,underlying,expiration_month,deliverables,time_value,expiration_day,days_to_expiration,delta,gamma,theta,vega,rho,security_status,theoretical_option_value,underlying_price,uv_expiration_type,mark_price,quote_time,trade_time,exchange,exchange_name,last_trading_day,settlement_type,net_percent_change,mark_price_net_change,mark_price_percent_change,implied_yield,is_penny_pilot,option_root,week_52_high,week_52_low,indicative_ask_price,indicative_bid_price,indicative_quote_time,exercise_type,field_delayed,field_assetMainType,time_et
,AAPL 10/31/2025 120.00 C,149.7,150.9,151.4,156.24,151.4,151.4101,7,0,1048.80759385,150.3094,2025,100,2,156,158,169,4,-0.0101,120.0,C,AAPL,10,100 AAPL,1.0905939,31,0,1.0,0,0,0,0,Normal,150.34,270.3094,W,150.3,1761931774005,1761918772034,O,OPR,1761955200000,P,-0.00667063,-1.1101,-0.73317434,0,True,AAPL,156.24,151.4,0,0,0,A,False,OPTION,2025-10-31 13:29:34 EDT
,AAPL 10/31/2025 120.00 C,149.7,150.9,151.4,156.24,151.4,151.4101,7,0,1048.80759385,150.3094,2025,100,2,156,159,170,4,-0.0101,120.0,C,AAPL,10,100 AAPL,1.0905939,31,0,1.0,0,0,0,0,Normal,150.34,270.3094,W,150.3,1761931774901,1761918772034,O,OPR,1761955200000,P,-0.00667063,-1.1101,-0.73317434,0,True,AAPL,156.24,151.4,0,0,0,A,False,OPTION,2025-10-31 13:29:34 EDT
,AAPL 10/31/2025 120.00 C,149.7,150.9,151.4,156.24,151.4,151.4101,7,0,1048.3836866,150.21,2025,100,2,156,159,149,4,-0.0101,120.0,C,AAPL,10,100 AAPL,1.1899939,31,0,1.0,0,0,0,0,Normal,150.24,270.21,W,150.3,1761931786467,1761918772034,O,OPR,1761955200000,P,-0.00667063,-1.1101,-0.73317434,0,True,AAPL,156.24,151.4,0,0,0,A,False,OPTION,2025-10-31 13:29:46 EDT
